profile_time,exec_time,algorithm,program,strategy,run,total_time,RC
61446,2775297,gp,codec,GI+Random,20,2836743,0.6225252543872585
184049,9738080,gp,compress,GI,1,9922129,1.2710808588177653
182684,8870700,gp,compress,GI,2,9053384,1.1597897094390746
183817,5807883,gp,compress,GI,3,5991700,0.7675706677244778
182434,6981043,gp,compress,GI,4,7163477,0.9176819306906119
182364,5563354,gp,compress,GI,5,5745718,0.736058981894379
180698,5614189,gp,compress,GI,6,5794887,0.7423578089653847
179352,7666183,gp,compress,GI,7,7845535,1.0050574191975168
176950,8263515,gp,compress,GI,8,8440465,1.0812713179823896
180906,5787945,gp,compress,GI,9,5968851,0.764643581557474
180588,11074745,gp,compress,GI,10,11255333,1.4418718337485772
181119,5631592,gp,compress,GI,11,5812711,0.744641164203718
171174,9573243,gp,compress,GI,12,9744417,1.2483149462215652
178701,8255275,gp,compress,GI,13,8433976,1.0804400403712169
170429,7457082,gp,compress,GI,14,7627511,0.9771273113383179
179119,12883277,gp,compress,GI,15,13062396,1.6733668274115105
181002,10424763,gp,compress,GI,16,10605765,1.3586584980521215
178822,7587756,gp,compress,GI,17,7766578,0.9949425808024833
178288,4626774,gp,compress,GI,18,4805062,0.6155556265830257
179031,5305283,gp,compress,GI,19,5484314,0.7025716506151345
181008,9815794,gp,compress,GI,20,9996802,1.2806468925762964
224239,2841411,gp,compress,GI+Ekstazi,1,3065650,0.3927271087520312
227495,3000252,gp,compress,GI+Ekstazi,2,3227747,0.41349265150719827
224120,2413857,gp,compress,GI+Ekstazi,3,2637977,0.3379397779147512
223515,2218938,gp,compress,GI+Ekstazi,4,2442453,0.3128920473481072
225555,2581103,gp,compress,GI+Ekstazi,5,2806658,0.35954876831854854
226036,2304109,gp,compress,GI+Ekstazi,6,2530145,0.3241258886609391
225271,1915838,gp,compress,GI+Ekstazi,7,2141109,0.27428817611043427
224479,2339344,gp,compress,GI+Ekstazi,8,2563823,0.3284402309924352
225376,2552843,gp,compress,GI+Ekstazi,9,2778219,0.3559055715264167
225255,5617248,gp,compress,GI+Ekstazi,10,5842503,0.7484576879503755
224367,1967017,gp,compress,GI+Ekstazi,11,2191384,0.2807286880385762
225629,2199296,gp,compress,GI+Ekstazi,12,2424925,0.31064661138437827
224191,3049269,gp,compress,GI+Ekstazi,13,3273460,0.4193487454260676
225123,2013509,gp,compress,GI+Ekstazi,14,2238632,0.28678142414162644
225305,3000416,gp,compress,GI+Ekstazi,15,3225721,0.4132331094452109
222760,1901818,gp,compress,GI+Ekstazi,16,2124578,0.2721704614871799
224293,2250260,gp,compress,GI+Ekstazi,17,2474553,0.3170042389521521
223203,1535619,gp,compress,GI+Ekstazi,18,1758822,0.22531504864203838
224545,1990852,gp,compress,GI+Ekstazi,19,2215397,0.2838048891908482
223673,2239392,gp,compress,GI+Ekstazi,20,2463065,0.3155325611594023
294651,3175958,gp,compress,GI+STARTS,1,3470609,0.4446046476860627
299337,3295562,gp,compress,GI+STARTS,2,3594899,0.4605268998501356
298118,2524962,gp,compress,GI+STARTS,3,2823080,0.36165251942514126
299192,2349002,gp,compress,GI+STARTS,4,2648194,0.339248633416886
300196,2170941,gp,compress,GI+STARTS,5,2471137,0.3165666300263135
298494,2720652,gp,compress,GI+STARTS,6,3019146,0.38676968325812144
295288,3398138,gp,compress,GI+STARTS,7,3693426,0.4731487659614045
290633,3144142,gp,compress,GI+STARTS,8,3434775,0.4400141095571112
296119,3203958,gp,compress,GI+STARTS,9,3500077,0.44837966519970746
303428,3077241,gp,compress,GI+STARTS,10,3380669,0.43308282485529026
307606,2333304,gp,compress,GI+STARTS,11,2640910,0.3383155118080429
306447,2767939,gp,compress,GI+STARTS,12,3074386,0.39384623977548716
306927,3561152,gp,compress,GI+STARTS,13,3868079,0.4955228033514746
303106,2611964,gp,compress,GI+STARTS,14,2915070,0.37343695885367983
300813,2221981,gp,compress,GI+STARTS,15,2522794,0.3231841839730471
289762,6392556,gp,compress,GI+STARTS,16,6682318,0.856042740659128
299046,1988906,gp,compress,GI+STARTS,17,2287952,0.29309959516690665
292858,1815506,gp,compress,GI+STARTS,18,2108364,0.2700933563573361
297796,1780534,gp,compress,GI+STARTS,19,2078330,0.2662458310415765
282629,2297350,gp,compress,GI+STARTS,20,2579979,0.330509905994147
220411,6340022,gp,compress,GI+Random,1,6560433,0.8404285826012149
183305,8207723,gp,compress,GI+Random,2,8391028,1.0749381585951883
181687,6684910,gp,compress,GI+Random,3,6866597,0.8796499231077818
178991,6861568,gp,compress,GI+Random,4,7040559,0.9019354394885561
181216,6782408,gp,compress,GI+Random,5,6963624,0.8920796307328803
181749,24407538,gp,compress,GI+Random,6,24589287,3.150026777285048
181162,7476853,gp,compress,GI+Random,7,7658015,0.9810350463130776
185378,6494653,gp,compress,GI+Random,8,6680031,0.855749763020547
173830,7165596,gp,compress,GI+Random,9,7339426,0.9402219930127331
186105,9193185,gp,compress,GI+Random,10,9379290,1.2015401118349578
181309,5143087,gp,compress,GI+Random,11,5324396,0.6820852500875442
185171,9513373,gp,compress,GI+Random,12,9698544,1.2424383553975045
187350,11018555,gp,compress,GI+Random,13,11205905,1.4355398273122928
179888,6526175,gp,compress,GI+Random,14,6706063,0.8590846094952042
185619,7272373,gp,compress,GI+Random,15,7457992,0.9554109683935801
189899,6606312,gp,compress,GI+Random,16,6796211,0.8706330783027256
190014,6272298,gp,compress,GI+Random,17,6462312,0.8278587273868694
190624,5278549,gp,compress,GI+Random,18,5469173,0.7006320028557314
